Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Multicolor ,Casual ,"Letter, Heart ",Jogger ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Casual ,"Floral, Zebra Stripe ",Flare Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,pants,95.0,5.0,,,,,,,,,,,
Brown ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Corduroy ,"93% Polyester, 7% Elastane ",Hand wash or professional dry clean ,4.79,69.0,pants,93.0,7.0,,,,,,,,,,,
Multicolor ,Boho ,"Striped, Plants ",Wide Leg ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,59.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Boho ,"Paisley, Plants ",Wide Leg ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,0.0,79.0,pants,,,100.0,,,,,,,,,,
Multicolor ,Casual ,Plaid ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.84,59.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Paisley ,Wide Leg ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,0.0,79.0,pants,,,100.0,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.84,49.0,pants,95.0,5.0,,,,,,,,,,,
Lime Green ,Casual ,Gingham ,Tapered/Carrot ,Slight Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,39.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Viscose ,Hand wash or professional dry clean ,4.95,89.0,pants,,,100.0,,,,,,,,,,
Coffee Brown ,Casual ,Plain ,Flare Leg ,Non-Stretch ,PU Leather ,100% Polyurethane ,Hand wash or professional dry clean ,0.0,69.0,pants,,,,,,,,,,,,,100.0
Apricot ,Sexy ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.8,59.0,pants,100.0,,,,,,,,,,,,
Apricot ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Hand wash or professional dry clean ,0.0,59.0,pants,97.0,3.0,,,,,,,,,,,
Green ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.91,59.0,pants,100.0,,,,,,,,,,,,
Khaki ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Casual ,"Colorblock, Tartan ",Tapered/Carrot ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.77,59.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Boho ,"Floral, All Over Print ",Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,49.0,pants,100.0,,,,,,,,,,,,
Apricot ,Casual ,Plain ,Straight Leg ,Medium Stretch ,Fabric ,100% Cotton ,"Hand wash,do not dry clean ",0.0,79.0,pants,,,,,100.0,,,,,,,,
Burnt Orange ,Casual ,Plain ,Jogger ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Tapered/Carrot ,Slight Stretch ,Woven Fabric ,"64% Viscose, 31% Polyamide, 5% Elastane ",Machine wash or professional dry clean ,0.0,69.0,pants,,5.0,64.0,,,,31.0,,,,,,
Black ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,89.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Geometric ,Tapered/Carrot ,Slight Stretch ,Knitted Fabric ,"99% Polyester, 1% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants,99.0,1.0,,,,,,,,,,,
Multicolor ,Boho ,All Over Print ,Flare Leg ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,pants,95.0,5.0,,,,,,,,,,,
White ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,59.0,pants,100.0,,,,,,,,,,,,
Purple ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,"55% Cotton, 42% Nylon, 3% Elastane ",Hand wash or professional dry clean ,4.93,69.0,pants,,3.0,,,55.0,,,,,42.0,,,
Mustard Yellow ,Boho ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Boho ,"Tropical, All Over Print ",Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Apricot ,Casual ,Plain ,Flare Leg ,Medium Stretch ,Knitted Fabric ,"53% Polyester, 45% Viscose, 2% Elastane ",Machine wash or professional dry clean ,4.78,49.0,pants,53.0,2.0,45.0,,,,,,,,,,
Blue and White ,Boho ,Floral ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.79,59.0,pants,100.0,,,,,,,,,,,,
Army Green ,Casual ,Plain ,Wide Leg ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.9,29.0,pants,93.0,7.0,,,,,,,,,,,
Multicolor ,Boho ,Tribal ,Wide Leg ,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.9,49.0,pants,98.0,2.0,,,,,,,,,,,
Multicolor ,Casual ,Patchwork ,Straight Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.78,39.0,pants,95.0,5.0,,,,,,,,,,,
Navy Blue ,Elegant ,Plain ,Flare Leg ,Non-Stretch ,Fabric ,"80.4% Viscose, 14.6% Polyamide, 5% Spandex ",Machine wash or professional dry clean ,4.79,33.0,pants,,,80.4,5.0,,,14.6,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,39.0,pants,95.0,5.0,,,,,,,,,,,
Olive Green ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,39.0,pants,100.0,,,,,,,,,,,,
Army Green ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.77,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.75,49.0,pants,95.0,5.0,,,,,,,,,,,
Teal Blue ,Elegant ,Plain ,Straight Leg ,Medium Stretch ,Knitted Fabric ,"94% Polyester, 6% Elastane ","Hand wash,do not dry clean ",4.9,29.0,pants,94.0,6.0,,,,,,,,,,,
Black ,Casual ,Plain ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,pants,95.0,5.0,,,,,,,,,,,
Apricot ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.86,49.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,"98% Polyester, 2% Spandex ",Hand wash or professional dry clean ,4.87,49.0,pants,98.0,,,2.0,,,,,,,,,
Khaki ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.43,59.0,pants,100.0,,,,,,,,,,,,
White ,Party ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,79.0,pants,100.0,,,,,,,,,,,,
Mustard Yellow ,Elegant ,Plain ,Skinny ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.86,39.0,pants,95.0,5.0,,,,,,,,,,,
Red Violet ,Elegant ,Plain ,Flare Leg ,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,pants,95.0,5.0,,,,,,,,,,,
Apricot ,Elegant ,Plain ,Tapered/Carrot ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,49.0,pants,100.0,,,,,,,,,,,,
Mint Green ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"73% Polyester, 21% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.82,59.0,pants,73.0,6.0,21.0,,,,,,,,,,
Black ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,"65% Cotton, 35% Polyester ",Machine wash or professional dry clean ,4.9,69.0,pants,35.0,,,,65.0,,,,,,,,
Grey ,Casual ,Plain ,Skinny ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,29.0,pants,95.0,5.0,,,,,,,,,,,
Beige ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.89,79.0,pants,,,,,100.0,,,,,,,,
Orange ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Knitted Fabric ,"62% Polyester, 33% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.89,59.0,pants,62.0,5.0,,,33.0,,,,,,,,
Black ,Elegant ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,"99% Polyester, 1% Elastane ",Machine wash or professional dry clean ,4.88,49.0,pants,99.0,1.0,,,,,,,,,,,
Multicolor ,Boho ,Floral ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,59.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,129.0,pants,100.0,,,,,,,,,,,,
Green ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Khaki ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.9,49.0,pants,,,,,100.0,,,,,,,,
Navy Blue ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants,98.0,2.0,,,,,,,,,,,
Chocolate Brown ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,100.0% Cotton ,Machine wash or professional dry clean ,5.0,99.0,pants,,,,,100.0,,,,,,,,
Dark Grey ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,"78% Polyester, 20% Viscose, 2% Elastane ",Machine wash or professional dry clean ,0.0,49.0,pants,78.0,2.0,20.0,,,,,,,,,,
Grey ,Elegant ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.76,31.0,pants,,5.0,95.0,,,,,,,,,,
Apricot ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,49.0,pants,100.0,,,,,,,,,,,,
Light Grey ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Rib knit ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,pants,95.0,5.0,,,,,,,,,,,
Army Green ,Casual ,Graphic ,Straight Leg ,Slight Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Flare Leg ,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,59.0,pants,95.0,,,5.0,,,,,,,,,
Apricot ,Elegant ,Plain ,Tapered/Carrot ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Boho ,All Over Print ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plaid ,Skinny ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.89,39.0,pants,97.0,3.0,,,,,,,,,,,
Brown ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"96% Polyester, 4% Spandex ",Hand wash or professional dry clean ,4.88,69.0,pants,96.0,,,4.0,,,,,,,,,
Red ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"92% Polyester, 8% Elastane ","Machine wash, do not dry clean ",4.86,49.0,pants,92.0,8.0,,,,,,,,,,,
Multicolor ,Boho ,All Over Print ,Wide Leg ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,49.0,pants,97.0,3.0,,,,,,,,,,,
Black ,Casual ,Plain ,Skinny ,Medium Stretch ,Knitted Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,0.0,39.0,pants,94.0,6.0,,,,,,,,,,,
Navy Blue ,Elegant ,Striped ,Straight Leg ,Non-Stretch ,Woven Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.89,49.0,pants,96.0,4.0,,,,,,,,,,,
Multicolor ,Boho ,All Over Print ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Animal ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,39.0,pants,100.0,,,,,,,,,,,,
Red ,Elegant ,Plain ,Straight Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,pants,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,Gingham ,Straight Leg ,Non-Stretch ,Fabric ,"76% Polyester, 20% Cotton, 4% Viscose ",Machine wash or professional dry clean ,4.9,29.0,pants,76.0,,4.0,,20.0,,,,,,,,
Black ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,69.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,"Letter, Colorblock ",Wide Leg ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.79,49.0,pants,95.0,5.0,,,,,,,,,,,
Blue ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,89.0,pants,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.7,39.0,pants,100.0,,,,,,,,,,,,
Redwood ,Elegant ,Plain ,Flare Leg ,Medium Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ",Machine wash or professional dry clean ,5.0,39.0,pants,89.0,11.0,,,,,,,,,,,
Army Green ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,pants,95.0,5.0,,,,,,,,,,,
Light Grey ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Knitted Fabric ,"62% Polyester, 33% Cotton, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,pants,62.0,5.0,,,33.0,,,,,,,,
Red ,Boho ,Floral ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,pants,100.0,,,,,,,,,,,,
Beige ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.75,39.0,pants,95.0,5.0,,,,,,,,,,,
Multicolor ,Boho ,Floral ,Wide Leg ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,49.0,pants,97.0,3.0,,,,,,,,,,,
Hot Pink ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,59.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Casual ,All Over Print ,Tapered/Carrot ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,pants,89.0,11.0,,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
White ,Boho ,Animal ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,99.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Striped ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,59.0,pants,100.0,,,,,,,,,,,,
Black ,Party ,Plain ,Flare Leg ,High Stretch ,PU Leather ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Khaki ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.81,79.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,119.0,pants,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.74,79.0,pants,,,,,100.0,,,,,,,,
Black ,Casual ,Plain ,Straight Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Black and White ,Elegant ,Striped ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,29.0,pants,100.0,,,,,,,,,,,,
Navy Blue ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Knitted Fabric ,"91% Polyester, 9% Elastane ",Machine wash or professional dry clean ,4.9,39.0,pants,91.0,9.0,,,,,,,,,,,
Black ,Casual ,Plain ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.82,49.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,4.92,59.0,pants,94.0,6.0,,,,,,,,,,,
Black ,Boho ,Floral ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,59.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,Marble ,Wide Leg ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Wide Leg ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,49.0,pants,95.0,5.0,,,,,,,,,,,
Royal Blue ,Elegant ,Plain ,Flare Leg ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,Straight Leg ,Medium Stretch ,PU Leather ,"50% Polyester, 50% Polyurethane ","Machine wash, do not dry clean ",0.0,69.0,pants,50.0,,,,,,,,,,,,50.0
Black ,Sexy ,Plain ,Flare Leg ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.76,49.0,pants,95.0,5.0,,,,,,,,,,,
Brown ,Casual ,Plaid ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,79.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Straight Leg ,Non-Stretch ,PU Leather ,100% Polyester ,"Machine wash, do not dry clean ",4.95,59.0,pants,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",0.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Khaki ,Casual ,Plain ,Jogger ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,5.0,69.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.97,39.0,pants,95.0,5.0,,,,,,,,,,,
Brown ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,0.0,79.0,pants,,,,,100.0,,,,,,,,
Dark Green ,Elegant ,Plain ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.84,49.0,pants,95.0,5.0,,,,,,,,,,,
Multicolor ,Boho ,"Geometric, All Over Print ",Wide Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Khaki ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.87,59.0,pants,,,,,100.0,,,,,,,,
Khaki ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants,95.0,5.0,,,,,,,,,,,
Khaki ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.89,59.0,pants,,,,,100.0,,,,,,,,
Army Green ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.74,59.0,pants,100.0,,,,,,,,,,,,
Green ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,"80% Viscose, 20% Polyamide ",Machine wash or professional dry clean ,0.0,39.0,pants,,,80.0,,,,20.0,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,59.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Patchwork ,Wide Leg ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.6,49.0,pants,97.0,3.0,,,,,,,,,,,
Multicolor ,Boho ,Striped ,Straight Leg ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,39.0,pants,97.0,3.0,,,,,,,,,,,
Black ,Party ,Plain ,Straight Leg ,Medium Stretch ,PU Leather ,100% Polyester ,Hand wash or professional dry clean ,4.89,69.0,pants,100.0,,,,,,,,,,,,
Baby Blue ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Knitted Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants,96.0,4.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,PU Leather ,100% Polyester ,"Machine wash, do not dry clean ",5.0,27.46,pants,100.0,,,,,,,,,,,,
Brown ,Boho ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.91,79.0,pants,,,100.0,,,,,,,,,,
Navy Blue ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.78,49.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants,100.0,,,,,,,,,,,,
Dark Green ,Elegant ,Plain ,Tapered/Carrot ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,49.0,pants,95.0,5.0,,,,,,,,,,,
Grey ,Casual ,Letter ,Straight Leg ,Non-Stretch ,Woven Fabric ,100% Cotton ,"Machine wash, do not dry clean ",5.0,79.0,pants,,,,,100.0,,,,,,,,
Black ,Party ,Plain ,Wide Leg ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",5.0,69.0,pants,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,49.0,pants,97.0,3.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.77,39.0,pants,95.0,5.0,,,,,,,,,,,
Multicolor ,Boho ,Ditsy Floral ,Wide Leg ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,pants,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Skinny ,High Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,pants,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Graphic ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,59.0,pants,100.0,,,,,,,,,,,,
