Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Coffee Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,79.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Elegant ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,69.0,dresses,100.0,,,,,,,,,,,,
Rust Brown ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.9,39.0,dresses,97.0,3.0,,,,,,,,,,,
Black ,Party ,Plain ,A Line ,Slight Stretch ,Mesh Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.89,99.0,dresses,,,,,,,100.0,,,,,,
Dusty Blue ,Casual ,All Over Print ,Tunic ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,39.0,dresses,100.0,,,,,,,,,,,,
Navy Blue ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,69.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"95% Viscose, 5% Elastane ","Machine wash, do not dry clean ",4.92,49.0,dresses,,5.0,95.0,,,,,,,,,,
Grey ,Party ,Plain ,A Line ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.92,69.0,dresses,95.0,5.0,,,,,,,,,,,
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.9,69.0,dresses,95.0,5.0,,,,,,,,,,,
Hot Pink ,Cute ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses,95.0,5.0,,,,,,,,,,,
