Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Dusty Blue ,Casual ,All Over Print ,Tunic ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,₪39.00
Navy Blue ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,₪69.00
Black ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"95% Viscose, 5% Elastane ","Machine wash, do not dry clean ",4.92,₪49.00
Grey ,Party ,Plain ,A Line ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.92,₪69.00
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.9,₪69.00
Hot Pink ,Cute ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,₪49.00
Multicolor ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪59.00
Multicolor ,Casual ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,₪47.00
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.91,₪59.00
Multicolor ,Boho ,Ditsy Floral ,Smock ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,₪49.00
Black ,Elegant ,Plain ,Shirt ,Slight Stretch ,Woven Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,4.86,₪89.00
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.92,₪69.00
Black ,Sexy ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.92,₪39.00
Multicolor ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Wool-Like Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,₪31.00
Olive Green ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪79.00
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.94,₪39.00
Apricot ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,₪49.00
Black ,Elegant ,Plain ,Fit and Flare ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.88,₪49.00
Grey ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.87,₪49.00
Maroon ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,₪59.00
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.88,₪79.00
Dark Green ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,₪39.00
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪89.00
Black ,Elegant ,Heart ,Shirt ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,₪59.00
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,4.93,₪129.00
Army Green ,Boho ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪49.00
Teal Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪59.00
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Spandex ",Machine wash or professional dry clean ,4.83,₪119.00
