Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price,category
Black and White ,Casual ,Graphic ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,29.0,shirts
Dark Green ,Casual ,Polka Dot ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,59.0,shirts
Black ,Casual ,"Halloween, Slogan ",top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts
Dark Green ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,shirts
Blue ,Sexy ,Plain ,top,Slight Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ","Hand wash,do not dry clean ",0.0,39.0,shirts
Multicolor ,Casual ,All Over Print ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,shirts
Multicolor ,Boho ,"Floral, All Over Print ",top,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,5.0,59.0,shirts
Apricot ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.92,49.0,shirts
Black ,Casual ,Tribal ,top,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,39.0,shirts
White ,Casual ,Plain ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",5.0,39.0,shirts
Green ,Casual ,Colorblock ,top,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,39.0,shirts
Apricot ,Casual ,Plain ,top,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Hand wash or professional dry clean ,5.0,69.0,shirts
Army Green ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.96,59.0,shirts
Multicolor ,Casual ,Colorblock ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,49.0,shirts
Multicolor ,Boho ,Ditsy Floral ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,23.0,shirts
Black ,Elegant ,Chain Print ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,29.0,shirts
Dark Green ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,49.0,shirts
Apricot ,Cute ,Heart ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts
Black ,Elegant ,Striped ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,shirts
Hot Pink ,Boho ,Floral ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts
Navy Blue ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts
Black ,Boho ,Ditsy Floral ,top,Slight Stretch ,Fabric ,"97% Polyester, 3% Spandex ","Hand wash,do not dry clean ",4.62,39.0,shirts
Dark Green ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts
Navy Blue ,Casual ,Colorblock ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",5.0,39.0,shirts
Dusty Blue ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.84,29.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts
Cadet Blue ,Casual ,Plain ,top,High Stretch ,Fabric ,"73% Polyester, 22% Viscose, 5% Elastane ","Machine wash, do not dry clean ",0.0,49.0,shirts
Navy Blue ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts
White ,Casual ,"Letter, Leopard Print ",top,Slight Stretch ,Knitted Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.79,29.0,shirts
Blue ,Casual ,Random Print ,top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts
Black ,Casual ,Animal ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.94,29.0,shirts
Khaki ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Black and White ,Casual ,Houndstooth ,top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.97,29.0,shirts
Green ,Casual ,Plain ,top,Medium Stretch ,Flannelette ,100% Polyester ,"Machine wash, do not dry clean ",0.0,49.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,29.0,shirts
Pink ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,shirts
Red ,Elegant ,"Floral, Scarf Print ",top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,shirts
Dark Green ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts
Apricot ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,"55% Viscose, 42% Polyester, 3% Spandex ",Machine wash or professional dry clean ,0.0,39.0,shirts
Apricot ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,3.0,49.0,shirts
Grey ,Casual ,Geometric ,top,High Stretch ,Fabric ,"67% Polyester, 30% Viscose, 3% Elastane ",Machine wash or professional dry clean ,4.89,19.0,shirts
Blue and White ,Casual ,Striped ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,49.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Cotton ,"Machine wash, do not dry clean ",0.0,79.0,shirts
Blue ,Casual ,Polka Dot ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Black and White ,Casual ,Striped ,top,High Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.78,39.0,shirts
Khaki ,Casual ,Letter ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,shirts
Dark Grey ,Casual ,Letter ,top,Slight Stretch ,Knitted Fabric ,100% Cotton ,Machine wash or professional dry clean ,5.0,49.0,shirts
Burgundy ,Casual ,Colorblock ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.81,59.0,shirts
White ,Casual ,Striped ,top,Slight Stretch ,Knitted Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.92,29.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts
White ,Sexy ,Heart ,top,Slight Stretch ,Knitted Fabric ,"92% Viscose, 8% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
Black ,Casual ,"Geometric, All Over Print ",top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts
Black ,Casual ,Figure ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,29.0,shirts
Black and White ,Casual ,Geometric ,top,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,5.0,59.0,shirts
White ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,19.0,shirts
Burgundy ,Casual ,Colorblock ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,39.0,shirts
Black ,Casual ,"Letter, Graphic ",top,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts
Multicolor ,Boho ,"Floral, All Over Print ",top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts
Mustard Yellow ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,29.0,shirts
Black ,Boho ,Ditsy Floral ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts
Army Green ,Casual ,Plain ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,19.0,shirts
White ,Casual ,"Geometric, Random Print ",top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",3.0,39.0,shirts
Royal Blue ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.94,39.0,shirts
Khaki ,Casual ,All Over Print ,top,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,39.0,shirts
Multicolor ,Sexy ,Tie Dye ,top,High Stretch ,Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts
Black ,Boho ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,49.0,shirts
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"83% Polyester, 11% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.33,39.0,shirts
Multicolor ,Casual ,"Geometric, Polka Dot ",top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",5.0,29.0,shirts
Black ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"96% Rayon, 4% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
Black ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,49.0,shirts
Royal Blue ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.98,39.0,shirts
Multicolor ,Casual ,Plaid ,top,High Stretch ,Fabric ,100% Cotton ,"Machine wash, do not dry clean ",4.9,29.0,shirts
Black ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Green ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,shirts
Apricot ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,shirts
Black ,Casual ,"Heart, Slogan ",top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",5.0,29.0,shirts
Green ,Boho ,Ditsy Floral ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,5.0,49.0,shirts
Red ,Casual ,Plain ,top,Non-Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts
Green ,Sexy ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,59.0,shirts
Black ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,49.0,shirts
Green ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,29.0,shirts
Brown ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,29.0,shirts
Black ,Casual ,Cartoon ,top,Slight Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts
Coral Pink ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
White ,Casual ,Plain ,top,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,29.0,shirts
Black ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,39.0,shirts
Black ,Casual ,Colorblock ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Hot Pink ,Party ,Plain ,top,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,19.0,shirts
Burnt Orange ,Boho ,Colorblock ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts
Light Grey ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts
Rust Brown ,Party ,Plain ,top,High Stretch ,Sequins ,"96% Polyester, 4% Elastane ","Hand wash,do not dry clean ",0.0,79.0,shirts
Hot Pink ,Boho ,Floral ,top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts
White ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,5.0,39.0,shirts
Multicolor ,Boho ,Floral ,top,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,0.0,25.86,shirts
Pink ,Party ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,1.0,69.0,shirts
White ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"70% Viscose, 30% Polyamide ",Machine wash or professional dry clean ,0.0,39.0,shirts
Grey ,Sexy ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts
White ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Black ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,39.0,shirts
Army Green ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,19.0,shirts
Multicolor ,Boho ,"Floral, All Over Print ",top,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean ",0.0,23.0,shirts
Dark Green ,Sexy ,Plain ,top,Slight Stretch ,Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.91,29.0,shirts
Navy Blue ,Casual ,Striped ,top,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.86,69.0,shirts
Navy Blue ,Sexy ,Plain ,top,High Stretch ,Fabric ,"95% Rayon, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
Black and White ,Casual ,Houndstooth ,top,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,49.0,shirts
Black ,Casual ,Halloween ,top,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.96,19.0,shirts
Red ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,39.0,shirts
Black ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"92% Viscose, 8% Elastane ",Machine wash or professional dry clean ,4.94,29.0,shirts
Black ,Boho ,"Floral, Random Print ",top,Non-Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Black ,Boho ,"Floral, All Over Print ",top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts
White ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,59.0,shirts
White ,Sexy ,Plain ,top,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.8,19.0,shirts
Multicolor ,Boho ,"Striped, Floral ",top,Non-Stretch ,Woven Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.89,39.0,shirts
Black ,Sexy ,Plain ,top,Slight Stretch ,PU Leather ,"90% Polyester, 10% Elastane ","Machine wash, do not dry clean ",0.0,19.0,shirts
White ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.83,69.0,shirts
Blue ,Casual ,Striped ,top,Non-Stretch ,Fabric ,"70% Cotton, 30% Polyester ","Machine wash, do not dry clean ",0.0,59.0,shirts
Blue ,Casual ,Plain ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
Rust Brown ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.96,79.0,shirts
Black and White ,Casual ,Zebra Stripe ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts
Orange ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,19.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,"80% Polyester, 20% Cotton ","Machine wash, do not dry clean ",0.0,39.0,shirts
Champagne ,Party ,Plain ,top,Medium Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",0.0,59.0,shirts
Blue and White ,Casual ,Striped ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,49.0,shirts
Royal Blue ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,39.0,shirts
Multicolor ,Casual ,Striped ,top,Non-Stretch ,Woven Fabric ,"50% Cotton, 45% Viscose, 5% Linen ",Machine wash or professional dry clean ,0.0,49.0,shirts
Multicolor ,Elegant ,Paisley ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts
Army Green ,Casual ,Plain ,top,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ","Hand wash,do not dry clean ",0.0,29.0,shirts
Dark Grey ,Casual ,"Letter, Animal ",top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.98,29.0,shirts
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts
Orange ,Casual ,Plain ,top,Slight Stretch ,Mesh Fabric ,"94% Polyamide, 6% Elastane ","Hand wash,do not dry clean ",0.0,9.0,shirts
Multicolor ,Boho ,Tropical ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,19.0,shirts
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"62% Polyester, 33% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.95,39.0,shirts
White ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,29.0,shirts
Hot Pink ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts
White ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
Black ,Casual ,Figure ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.0,29.0,shirts
Hot Pink ,Casual ,All Over Print ,top,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",4.94,39.0,shirts
Army Green ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.79,39.0,shirts
Hot Pink ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.9,19.0,shirts
Black ,Casual ,Graphic ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",5.0,39.0,shirts
Pink ,Casual ,Ombre ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts
Black ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,39.0,shirts
Black ,Sexy ,Plain ,top,High Stretch ,Fabric ,"91% Polyester, 9% Elastane ",Machine wash or professional dry clean ,4.82,29.0,shirts
Multicolor ,Boho ,Floral ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,19.0,shirts
White ,Casual ,Slogan ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,0.0,29.0,shirts
White ,Casual ,"Letter, Figure ",top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
Dusty Pink ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts
Dark Green ,Casual ,"Letter, Plants ",top,Medium Stretch ,Fabric ,"65% Cotton, 35% Polyester ",Machine wash or professional dry clean ,4.96,29.0,shirts
Grey ,Casual ,Tribal ,top,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts
Black ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts
Burnt Orange ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.65,19.0,shirts
Multicolor ,Casual ,Colorblock ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts
Red ,Sexy ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.4,29.0,shirts
Lime Green ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"86% Polyester, 8% Elastane, 6% Metallized Fibres ",Machine wash or professional dry clean ,5.0,9.0,shirts
Dark Grey ,Casual ,Letter ,top,Slight Stretch ,Fabric ,"65% Viscose, 35% Polyester ",Machine wash or professional dry clean ,5.0,29.0,shirts
Black ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,shirts
Black and White ,Casual ,Striped ,top,Slight Stretch ,Fabric ,"77.6% Cotton, 22.4% Polyester ",Machine wash or professional dry clean ,4.83,29.0,shirts
Multicolor ,Casual ,Striped ,top,Medium Stretch ,Fabric ,"62% Viscose, 30% Polyester, 8% Spandex ",Machine wash or professional dry clean ,4.95,29.0,shirts
Black ,Elegant ,Floral ,top,Medium Stretch ,Flocking ,"70% Polyester, 27% Polyamide, 3% Elastane ",Hand wash or professional dry clean ,5.0,29.0,shirts
White ,Casual ,Letter ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts
Dark Grey ,Casual ,Heart ,top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.92,29.0,shirts
Cadet Blue ,Casual ,Plain ,top,High Stretch ,Fabric ,"73% Polyester, 22% Viscose, 5% Elastane ","Machine wash, do not dry clean ",0.0,49.0,shirts
Dusty Blue ,Casual ,Geometric ,top,Slight Stretch ,Knitted Fabric ,"65% Polyester, 35% Viscose ","Machine wash, do not dry clean,wash with the soft detergent ",4.95,29.0,shirts
Red Violet ,Sexy ,Plain ,top,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",0.0,39.0,shirts
Black ,Party ,Plain ,top,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.81,29.0,shirts
Black ,Casual ,Plain ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.98,19.0,shirts
Black ,Casual ,Floral ,top,Slight Stretch ,Knitted Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts
White ,Sexy ,Plain ,top,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.81,19.0,shirts
Black ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"83% Polyester, 11% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.89,29.0,shirts
Grey ,Casual ,Striped ,top,Medium Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,49.0,shirts
Dark Grey ,Casual ,Animal ,top,Medium Stretch ,Fabric ,"94% Polyester, 6% Spandex ",Machine wash or professional dry clean ,4.93,29.0,shirts
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts
Black ,Casual ,"Cartoon, Slogan ",top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.9,23.0,shirts
Black ,Casual ,Leopard Print ,top,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.96,29.0,shirts
White ,Casual ,Plain ,top,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.5,29.0,shirts
Navy Blue ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"83% Polyester, 11% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.9,29.0,shirts
Apricot ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"94% Polyester, 6% Spandex ",Machine wash or professional dry clean ,4.86,29.0,shirts
Multicolor ,Elegant ,Leopard Print ,top,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.93,29.0,shirts
Mint Green ,Casual ,Heart ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,29.0,shirts
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",0.0,29.0,shirts
Black ,Casual ,Slogan ,top,Slight Stretch ,Knitted Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,0.0,19.0,shirts
Multicolor ,Casual ,All Over Print ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,29.0,shirts
