Color,Style,Pattern Type,Type,Fabric,Material,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Woven Fabric ,Hand wash or professional dry clean ,4.88,79.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.91,39.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,89.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Heart ,Shirt ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,0.0,59.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Chiffon ,Hand wash or professional dry clean ,4.93,129.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Green ,Boho ,Plain ,Cami ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.93,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teal Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.83,119.0,dresses,98.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Boho ,Floral ,Tunic ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.92,29.0,dresses,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Grey ,Casual ,Colorblock ,Shirt ,Medium Stretch ,Rib knit ,Machine wash or professional dry clean ,4.95,99.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
